type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,24h,4.5,30.86%,whole fungi,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,48h,4.5,35.17%,whole fungi,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,72h,4.5,44.29%,whole fungi,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,24h,4.5,24.86%,whole fungi,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,48h,4.5,30.89%,whole fungi,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,72h,4.5,50.33%,whole fungi,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,24h,4.5,78.27%,whole fungi,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,48h,4.5,84.37%,whole fungi,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,72h,4.5,89.56%,whole fungi,
Congo red,Pleurotus ostreatus,20 mg/L,Not specified,shaking,30°C,24h,4.5,88.16%,whole fungi,
Congo red,Pleurotus ostreatus,20 mg/L,Not specified,shaking,30°C,72h,4.5,91.19%,whole fungi,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,Not specified,shaking,30°C,72h,4.5,42.49%,whole fungi,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,24h,4.5,88.27%,whole fungi,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,72h,4.5,91.52%,whole fungi,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,Not specified,shaking,30°C,72h,4.5,90.42%,whole fungi,
Congo red,Phanerochaete chrysosporium,20 mg/L,Not specified,shaking,30°C,24h,4.5,69.44%,whole fungi,
Congo red,Phanerochaete chrysosporium,20 mg/L,Not specified,shaking,30°C,72h,4.5,85.20%,whole fungi,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,Not specified,shaking,30°C,24h,4.5,20.42%,whole fungi,
