type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Amaranth,Trametes versicolor,20 ppm,Not specified,shaking (200 rpm),30°C,24 hours,5.0,complete,mycelium,
Remazol Black B,Trametes versicolor,60 ppm,Not specified,shaking (200 rpm),30°C,24 hours,5.0,complete,mycelium,
Remazol Orange,Trametes versicolor,60 ppm,Not specified,shaking (200 rpm),30°C,24 hours,5.0,complete,mycelium,
Reactive Blue,Trametes versicolor,20 ppm,Not specified,shaking (200 rpm),30°C,24 hours,5.0,complete,mycelium,
Tropaeolin O,Trametes versicolor,20 ppm,Not specified,shaking (200 rpm),30°C,24 hours,5.0,complete,mycelium,
Amaranth,Trametes versicolor,50 ppm,Not specified,static,30°C,48 hours,5.0,"lag phase of 24 hours, then complete",mycelium,
Remazol Black B,Trametes versicolor,60 ppm,Not specified,static,30°C,48 hours,5.0,"lag phase of 24 hours, then complete",mycelium,
Remazol Orange,Trametes versicolor,60 ppm,Not specified,static,30°C,48 hours,5.0,lag phase; then 54% decolorized,mycelium,
Tropaeolin O,Trametes versicolor,20 ppm,Not specified,static,30°C,48 hours,5.0,complete,mycelium,
Remazol Black,Bjerkandera sp. BOS55,60 ppm,Not specified,static,30°C,48 hours,5.0,complete,mycelium,
