type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,3.76 ± 0.71%,whole fungi,
Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,13.96 ± 0.96%,whole fungi,with AS mediator (0.1 mM)
Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,21.97 ± 4.43%,whole fungi,with MeS mediator (0.1 mM)
Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,60 °C,24 h,8,70-fold increase compared to controls,whole fungi,"significant increase, mediator concentration effect observed"
Tartrazine,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,19.22 ± 0.20%,whole fungi,
Tartrazine,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,10.4 ± 0.80%,whole fungi,with AS mediator (0.1 mM)
Tartrazine,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,60 °C,24 h,8,significant increase when using MeS mediator,whole fungi,36-fold decrease in toxicity observed
Reactive Black 5,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,90.82 ± 0.18%,whole fungi,with AS mediator (0.1 mM)
Indigo Carmine,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,96.26 ± 0.93%,whole fungi,with AS mediator (0.1 mM)
Cresol Red,Streptomyces ipomoeae,50 mM,0.4 U/mL,not specified,35 °C,24 h,8,12.05 ± 0.33%,whole fungi,
